Subject,Agency,Solicitation #,Date,Year,Description
"GENERATOR REPLACEMENT PROJECT AT THE HERBERT HOOVER PRESIDENTIAL LIBRARY AND MUSEUM, WEST BRANCH, IOWA",General Services Administration,GS11P00MAC0518,1222,99,"Generator Replacement Project at the Herbert Hoover Presidential Library and Museum, West Branch, Iowa. Scope of Work involves;  1) Removal of existing emergency generator;  2) All associated patch and repair work,  3) Installation of a new 60kW quiet site natural gas fired generator,  4) All associated required mechanical, electrical, new concrete pad, and new wood screen fence.  Estimated construction costs range $ 50,000 to $ 100,000.  This solicitation is not set aside. This procurement is being made under the Small Business Competitiveness Demonstration Program.  The Standard Industrial Classification (SIC) code for this solicitation is 1731-Electrical Work, and the small business size standard is $7.0 million.  Copies of this solicitation for Invitation to Bid (IFB) will be issued on or about January 10, 2000. The bid opening date will be on or about February 14, 2000.  To receive a copy of the solicitation package, submit your request to the following address: GSA, NCR, PBS, Bid Room 1065, 7th  and D Streets, SW, Washington, DC 20407, or by facsimile on 202-205-2808, or on the Contracting Officer_s 202-260-6388."
COMMERCIAL FACILITES MANAGEMENT,General Services Administration,GS11P98YQD0033,1209,98,This is to amend the CBD Notice for Solicitation Number GS11P98MJC0033.  Please note contract number change.
INSTALL CABLE WIRING THROUGHOUT THE NATIONAL CAPITAL REGION,General Services Administration,GS11P99MQD0032,0330,99,"ALL INFORMATION PERTAINING TO THIS PROCUREMENT WAS INADVERTENTLY DELETED 3/30/99, THEREFORE THIS IS A RESUBMISSION OF SYNOPSIS THAT WAS ADVERTISED BETWEEN 3/25 - 29/99."
"GUARD SERVICE FOR THE MARY E. SWITZER BUILDING, NW, WASHINGTON, DC",General Services Administration,GS11P99MQD0086,0611,99,"Provide security guard services at the Mary E. Switzer Building, 330 C. Street, SW, Washington, DC for a period of one (1) year with the Government having the unilateral option to extend four (4) consecutive additional periods of one year each.  The solicitation issued date will be held on or about June 30, 1999 with the bid opening date to be held on July 30, 1999.  This procurement is totally set aside for small businesses only.  GSA is issuing this solicitation only electronically.  Interested parties may access the solicitation at http://www.eps.gov.  This site provides instructions for downloading the solicitation file."
GUARD SERVICES,General Services Administration,GS11P99YQC0032,0416,99,"Provide security guard service at the Postal Square Bldg., 2 Massachusetts Ave., Washington, DC, for an initial period of one (1)year with the Government having the unilateral option to extend services for three (3) consecutive periods of one (1)year each. GSA is issuing Solicitation GS11P99YQC0032 only electronically on or about May 3, 1999. Interested parties may access the solicitation at http://www.eps.gov. This site provides instructions for downloading the solicitation file. There will be no bidders list for this procurement. The Bid Opening is scheduled  on or about June 4, 1999. Services under the anticipated awarded contract are scheduled to start August 1, 1999. This procurement is totally set aside for small business. Please direct all questions to Calvin Linthicum at (202) 708-9830; all FAX documents to be sent to (202) 401-2003. All other documentation should be mailed to the General Services Administration, 7th & D Sts., SW, Room 2634, Washington, DC 20407."
"PROVIDE SECURITY GUARD SERVICES AT THE OLD POST OFFICE BLDG., 1100 PENNSYLVANIA AVENUE, NW, AND THE NEW POST OFFICE (ARIEL RIOS) BLDG, BOTH LOCATED IN WASHINGTON, DC",General Services Administration,IFB-GS-11P-99-ZGD-0131,0623,99,"Solicitation IFB-GS11P-99-ZGD-0131, for providing security guard services at the Old Post Office Bldg., 1100 Pennsylvania Avenue, NW, and the New Post Office Bldg, (Ariel Rios) 1200 Pennsylvania, NW, both are located in Washington, DC.  Services are expected to begin on 10/1/99 for a period of one year with the Government having the unilateral option to extend for four (4) consecutive additional periods of 12-months each.  The solicitation issue date is on or about 7/16/99, with the bid opening date on or about 8/17/99.  The contract has a bid and performance bond requirement equal to 20% of the contract price.  This procurement is open to both large and small businesses.  This solicitation will ONLY be available on the internet.  All responsible non-excluded sources may submit a bid which will be considered by the agency.*****"
LATEX PAINT,General Services Administration,MXD-X-L2523-9,1201,98,"REQUEST FOR QUOTES FOR 2 NSNS: NSN 8010-00-598-5730, U/I CN, PAINT, LATEX IAW FED. SPEC. TT-P-29K DTD OCT. 31, 1991, TY I TINTS (PASTELS & WHITES) (COLOR 37875 AND 37778). COLOR SHALL BE WHITE IAW FED STD 595B, 18.9 LITERS (FIVE GALLONS) IN A CAN."
"5130-SOCKET SET, SOCKET WRENCH",General Services Administration,N-W-AT489-2,0318,99,"NSN-5130-01-117-0466, Quantity-210 ea, 3 orders for 3 destinations, requiring BAR Coding, and is Source inspection, Socket Set, Socket Wrench.See IPD & RFQ attached."
"5130, PULLING HEAD, RIVETER",General Services Administration,RFQ-5130-PULLING-HEAD-RIVETER,0224,99,"THIS IS A SIMPLIFIED ACQUISITION, STANDING PRICE QUOTE FOR 5130-"
RFQ-8030-MPN-B-NL343-9,General Services Administration,RFQ-8030-MPN-B-NL343-9,0625,99,"The General Services Administration has a Simplified Acquisition procurement for 30 Kits, National Stock Number 8030-01-375-4479 - Sealing Compound.  This item is in accordance with Emerson & Cuming Part Number Syntac VF-22.  This is no an ""or equal"" procurement.  The material furnished must reference the part number requested.  Interested parties may furnish a quote via fax or e-mail.  The Item Purchase Description and request for quotations may be downloaded from the Internet address: http://www.eps.gov.  A quote in FOB Destination terms is preferred.  If you have questions concerning this procurement, please contact Kathy VanNatta at (816) 823-1718."
RFQ-8030-SEALING-COMPOUNDS,General Services Administration,RFQ-8030-SEALING-COMPOUNDS,0520,99,"The General Services Administration has a Simplified Acquisition procurement for 52 Kits, National Stock Number 8030-01-375-4479 - Sealing Compound.  This item is in accordance with Emerson & Cuming part number Syntac VF-22.  This is not an ""or equal"" procurement.  The material furnished must reference the part number requested.  Interested parties may furnish a quote via fax or e-mail.  The Item purchase description and request for quotations may be downloaded from the internet address: http://www.eps.gov.  A quote in FOB Destination terms is preferred.  If you have questions concerning this procurement, please contact Kathy VanNatta at (816) 823-1718."
PAINT REMOVER,General Services Administration,RFQ-99-B5-MPN-B-9F534-9,0126,99,"The General Services Administration has a Simplified Acquisition Procurement requirement for 40 Drums of National Stock Number 8010-01-460-9513, Paint Remover. This item is in accordance with B and B Tritech Product Number BB 9575. This is not an or equal procurement. This material must come in a closed head drum containing 208 liters (55 gallons) of paint remover. Age on delivery shall not exceed one month. If interested in quoting, please furnish the following information: Price, Delivery Time, F.O.B. Terms, Business Size, How Long Price Is Good. This procurement is for two orders, 20 Drums each going to Birmingham,AL. This Simplified Acquisition is of an urgent nature, therefore please furnish your quote with the best delivery time possible. A quote in F.O.B. Destination Terms would be preferred. If furnishing a quote, please FAX a Material Safety Data Sheet (MSDS) along with your quote to Dan Perkins at (816) 926-3678. Please also reference the DOT Proper Shipping Name with this information."
PAINT REMOVER SIMPLIFIED ACQUISITION,General Services Administration,RFQ-99-B5-MPN-B-JU470-9,0318,99,The General Services Administration has a Simplified Acquisition
PAINT REMOVER SIMPLIFIED ACQUISITION,General Services Administration,RFQ-99-B5-MPN-B-KF416-9,0318,99,"The General Services Administration has a Simplified Acquisition Procurement Requirement for 80 Drums of National Stock Number 8010-01-460-9513, Paint Remover. This item is In Accordance With B and B Tritech Product BB 9575. Quotes furnished in response to this announcement must be for this referenced Product Number. This is not an ""or equal"" procurement. Interested parties should furnish the following information: Unit Price, F.O.B. Terms, Delivery Time, Discount Terms and Business Size. A quote in F.O.B. Destination Terms is preferred. Vendors furnishing a quote are asked to furnish a quote that may be used to cover additional requirements for the remainder of the calendar year. Quotes furnished will serve as a Standing Price Quote until December 31, 1999. Please FAX a Material Safety Data Sheet along with your quote to Dan Perkins at FAX (816) 926-3678."
COATING SYSTEM AND NON-SKID,General Services Administration,RFQ-99-B9-SPQ,0422,99,"The General Services Administraton has procurement requirements for fourteen (14) national stock numbers.  All items are QPL.  This is not an ""or equal"" procurement.  This standing price (request) quote is for a duration of 180 days (Nov 1, 1999), prices will remain in effect during this period.  Interested parties should furnish the following information: Unit price, F.O.B. Terms, Delivery Time, Discount Terms, Business size.  A quote of F.O.B. Destination Terms is preferred.  Award will be made by all or none.  For descriptions contact Howard L. Innis.  Fax material data sheets along with your quote to Howard L. Innis at (816) 926-3678. The estimated quantities are as follows:"
COATING SYSTEM AND NON-SKID,General Services Administration,RFQ-9901-B9-SPQ,0527,99,"The General Services Administration has procurement requirements for fourteen (14) national stock numbers.  All items are QPL.  This is not an ""or equal"" procurement.  This standing price (request) quote is for a duration of 180 days (Dec 1, 1999), prices will remain in effect during this period.  All unit of issues will be kit KT) The estimated quantities are in parenthesis: Estimated 6 month quantity - 1.  8010-01-397-3802 - (1790), 2.  8010-01-397-3804 - (565),  3.  8010-01-397-3806 - (4425),  4.  8010-01-397-3807 - (57),  5.  8010-01-397-3808 - (3235),  6.  8010-01-397-3810 - (425),  7.  8010-01-397-3811 - (113), 8.  8010-01-397-3812 - (1080), 9.  8010-01-397-3814 - (735), 10.  8010-01-397-3815 - (590), 11.  8010-01-397-3816 - (17), 12.  8010-01-397-3820 - (830), 13.  8010-01-397-3822 - (28), 14.  8010-01-397-3984 - (21)."
PAINT REMOVER,General Services Administration,RFQ-B5-99-MPN-B-9W622-9,0220,99,"The General Services Administration has a Simplified Acquisition Procurement requirement for 28 Drums of National Stock Number 8010-01-441-5950, Paint Remover. This item is In Accordance With Elt Atochem North America Inc., Turco Products Division Product Number T-6813E. This product is called outfor use in Air Force Technical Order 1-1-8. This is the only product that may be furnished. This is ""NOT"" an ""or equal"" procurement. If furnishing a quote, please provide the following information: Price Per Drum, Delivery Time, F.O.B. Terms, Business Size and Discount Terms. A quote in F.O.B. Destination Terms is preferred. This material will be going to Jacksonville, FL. You may FAX in your quote to Dan Perkins at 816-926-3678. For any questions you may call 816-823-1717."
PAINT REMOVER,General Services Administration,RFQ-B5-99-MPN-B-JB735-9,0213,99,"The General Services Administration has a Simplified Acquisition Procurement requirement for 60 Drums of National Stock Number 8010-01-460-9513, Paint Remover. This item is in accordance with B and B Tritech Product Number BB 9575. This is the item that must be furnished. This is not an or equal procurement. This material must come in a closed head drum containing 208 liters (55 gallons) of paint remover. Age on delivery shall not exceed one month. If interested in quoting, please furnish the following information: Price, Delivery Time, F.O.B. Terms, Business Size and How Long The Price Is Good. The procurement is for two orders, 40 Drums and 20 Drums going to Birmingham, AL. This Simplified Acquisition is of an urgent nature, therefore please furnish your quote with the best delivery time possible. A quote in F.O.B. Destination Terms would be preferred. If furnishing a quote, please FAX a Material Safety Data Sheet (MSDS) along with your quote to Dan Perkins at FAX (816) 926-3678. If you have questions, you may call (816) 823-1717.."
PAINT REMOVER SIMPLIFIED ACQUISITION,General Services Administration,RFQ-MPN-B-98571-9,0114,99,"The General Services Administration has a Simplified Acquistion requirement for 40 Drums of National Stock Number 8010-01-380-3258, Paint Remover. This item is IAW Elf Atochem, Inc. Turco Product Div. Inc.  Part Number Turco 6813. This material is used for the removal of epoxy/polyurethane primer and polyurethane topcoat. Each Drum should contain 208 liters (55 gallons) of paint remover. Age on delivery shall not exceed 1 month.  This Simplified Acquisition is of an urgent nature, therefore interested parties should furnish a quote with its best possible delivery time. When furnishing a quote, please provide the followning information:  Price, Delivery Time After Receipt Of Order, F.O.B. Terms, Discount Terms, Business Size and How long the quote would be good. Aquote in F.O.B. Destination terms would be preferred. You may e-mail or Fax the quotes to Dan Perkins or call for questions at (816) 823-1717."
PAINT REMOVER,General Services Administration,RFQ-MPN-B-J9329-9,1214,98,The General Services Administration has a requirement for 63 Drums of National Stock Number
PANASONIC ULTRA BRIGHT XGA PROJECTOR,Department of Homeland Security,RFQ99-Q-070,0701,99,"This is a combined solicitation/synopsis for commercial items prepared in accordance with the format in Subpart 12.6, as supplemented with additional information included in this notice. This announcement constitutes the only Request For Quotations;  quotations are being requested and a written solicitation will not be issued.  Solicitation number RFQ99-Q-070 is issued as a Request for Quotation through Federal Acquisition Circular 97-12.  This is a 100% small business set-aside.  The SIC code is 5043 and the small business size standard is 500.  The United States Secret Service has a requirement for the following:  Line Item 0001:  Quantity of four (4) Panasonic Model No. PT-L797U Ultra-Bright XGA LCD Projectors with BriteOptic Dual Lamp System, to include 1600 ANSI Lumens.  Line Item 0002:  Quantity of four (4) Jelco Model No. JEL-592HDWL Hard Shipping Cases for the Panasonic Model No. PT-L797U.  The following FAR Provisions and Clauses are applicable unless otherwise noted: 52.212-1, Instructions to Offerors-Commercial Items; 52.212-1(b)(8) is deleted; 52.212-4, Contract Terms and Conditions--Commercial Items; 52.212-5, Contract Terms and Conditions Required To Implement Statutes or Executive Orders--Commercial Items.  The following clauses cited in 52.212-5 are applicable:  52.222-21, Prohibition of Segregated Facilities; 52.222-26, Equal Opportunity (E.O.11246); 52.222-35, Affirmative Action for Disabled Veterans and Veterans of the Vietnam Era (38 U.S.C. 4212); 52.222-36, Affirmative Action for Workers with Disabilities (29 U.S.C. 793); 52.222-37, Employment Reports on Disabled Veterans and Veterans of the Vietnam Era (38 U.S.C. 4212); 52.225-3, Buy American Act-Supplies (41 U.S.C. 10); 52.225-21, Buy American Act-North American Free Trade Agreement Implementation Act-Balance of Payments Program (41 U.S.C. 10, Pub. L. 103-187).  These FAR Provisions and Clauses may be accessed via the world wide web at: http://www.arnet.gov/far/. The Contractor shall deliver the complete quantity, FOB Destination - Inside Delivery, with all freight included in the delivered price.  Delivery anticipated to be made to:  U.S. Secret Service - Financial Crimes Division, 1800 G Street, NW, Room 942, Washington, DC  20223; or within vicinity of the Washington, DC area.  All proposals should include a unit cost for the equipment. Delivery shall be within thirty (30) days of receipt of award.  The Government intends to award a firm fixed price contract, to the offeror whose quotation conforming to the specification, will be the most price advantageous to the Government.  Please note:   All responsible offerors shall mail quotations to the U.S. Secret Service, Procurement Division, 1310 L Street, Suite 730, Washington, DC  20223,  or fax same to (202) 435-7138, Attn:  Kelly Curtin; to be received no later than 12:00 P.M., Monday, July 12, 1999.   Award is anticipated within 30 days of receipt of quotes.  See Note 1."
"UNITED STATES GOVERNMENT SEEKS TO LEASE OFFICE/WAREHOUSE SPACE IN THE NEW ORLEANS, LA, AREA",General Services Administration,Reference-Number-9LA0029,0602,99,"General Services Administration is seeking to lease approximately 2,500 usable square feet of quality office space with an adjacent 3000 square feet of quality warehouse/storage space for a total of 5,500 square feet in St. Tammany Parish, LA.  The space must be within the following boundaries:"
"U.S. GOVERNMENT SEEKS SHORT TERM LEASE IN ALBUQUERQUE, NM",General Services Administration,Reference-Number-9NM11742,0607,99,"General Services Administration is interested in leasing approximately 129,000 square feet of office space for tenant agency's personnel, furnishings and equipment.  The agency is currently occupying space under a lease which expires October 25, 1999.   The Government is interested in considering alternative space if economically advantageous.   The cost of moving, alterations, telecommunications relocation, etc., will be taken into consideration when deciding whether to relocate."
"U.S. GOVERNMENTSEEKING RENTABLE OFFICE SPACE IN DALLAS, TX",General Services Administration,Reference-Number-9TX0062,0302,99,"General Services Administration is interested in leasing office space which must yield 9,205 to 9,665 occupiable square feet available for personnel, furnishings and equipment.  The space will be occupied by Social Security Administration."
"U.S. GOVERNMENT SEEKING RENTABLE OFFICE SPACE IN AUSTIN, TX",General Services Administration,Reference-Number-9TX01AU,0601,99,"General Services Administration is interested in leasing 25,000 square feet of usable office space with option to expand up to 50,000 square feet within a 2 year period of time.  Unique Requirements:  Building must have adequate cable facilities (or be able to be retrofitted) to provide voice grade line and data including T-1 operating at 1.544 mbps.  Building is to be asbestos free with all exterior exits accessible by local fire department.  Building must be accessible to physically challenged individuals with access available 7 days a week, 24 hours a day.  Public transportation must be available within 3 blocks.  Building must be located on daily postal route.  On site parking to accommodate 225 vehicles and 6 Govenment owned vehicles is required with adequate maneuvering room for 40 foot trucks.  Loading dock requirement:  One bay.  Lessor to provide fully serviced lease including janitorial and maintenance services, etc., at Government's option.  Offered properties must be located in an area bounded by North:  Riverside Drive,  South:  William Cannon,  East:  Highway 183,  West:  Lamar  Boulevard.  Lease Terms:  10 years, 5 years firm with Government having 90 days termination rights after the 5th year.  Expressions of interest must be submitted no later than June 16, 1999, and include the following information:  Street Address of Offered Property, Name, Address, Telephone Number of individual to be contacted and evidence of authority to represent the owner.  Responses should be forwarded to:  General Services Administration  (7PWE), 819 Taylor Street, Fort Worth, TX  76102  Point of Contact:  Don Day, Realty Specialist, Telephone No. (817) 978-7018  Fax No. (817) 978-7017.   Authorized Contacts:  In no event shall the offeror enter into negotiations concerning the referenced space with representatives of Federal Agencies other than the officers and employees of General Services Administration."
PUNCHES AND TIRE IRONS,General Services Administration,Reference-Number-BPA-6FES-99-7790-K8-I,0127,99,"Various NSNs, delivery time 60 days after receipt of order (ARO), minimum dollar amount $25.00, maximum dollar amount $100,000.  Period of agreement is for 5 years effective 03/15/99 or date of award, whichever is later, through 03/14/2004.  Clause 552.225-71, Notice of Procurement Restrictions - Hand or Measuring Tools or Stainless Steel Flatware applies to this Blanket Purchase Agreement.  Only Domestic End Products will be accepted.  Noun name: punches (44) and tire irons (6) with a total 50 NSNs.  NOTE: Calls must be placed through FIRS (relay service) for the Deaf at (800) 877-8339, and they call on TDD at (816) 823-1390, or send via FAX to (816) 926-3678."
CONVEYOR SYSTEM RECONFIGURATION,General Services Administration,Reference-Number-CPN-B-CJ040-1,0305,99,"This is a combined synopsis/solicitation for commercial items prepared in accordance with FAR 12.6, as supplemented with additional information included in this notice.  This announcement constitutes the only solicitation; proposals are being requested and a written solicitation will not be issued.  This is a request for quotation identified as CPN-B-CJ040-1.  The solicitation document and incorporated provisions and clauses are those in effect through Federal Acquisition Circular 97-10.  This solicitation is set aside for small business and the associated Standard Industrial Classification Code is 3535 and the Small Business Size Standard is 500 employees.  CLIN 1: Conveyor System Reconfiguration at the Customer Supply Center in Worth, IL.  GSA is seeking proposals to provide a professional expansion to the existing conveyor set up utilizing as much of the spare parts hardware that we have on site at the facility.  Additional parts and/or equipment must be comparable to the existing equipment and necessary specifications (electrical, mechanical drawings, etc).  GSA will have final design approval.  The contractor is responsible for all material and manpower to accomplish expansion.  This includes any upgrades to electrical power and all connections to keep expansion operational, startup assistance from the contractor, shop and layout drawings for in-house maintenance on the conveyor system, and maintenance manuals.  Installation of system must be completed over a weekend after agreement on notice to proceed to avoid  a work stoppage.  There will be a mandatory on-site visit conducted on March 16, 1999  at the GSA, Customer Supply Center, 5619 West 115th Street, Worth, IL  60482.  Failure of offeror to attend will result in non-evaluation of proposal.  Point of contact for on-site visit is Frank Noto, (312) 886-9660.  The following clauses/provisions are applicable to this solicitation:  52.215-1, Instructions to offerors - Commercial Items; Evaluation - The Government will make award to the responsible offeror whose offer conforms to the solicitation and is most advantageous to the Government; technical capability, past performance and price/cost considered; Clause 52.212-3,  Offeror Representations and Certifications-Commercial Items, the offeror must include a completed copy with its offer and complete and submit the following Provision, Compliance With Veterans Employment Reporting Requirements.  (a)  The Offeror represents that, if it is subject to the reporting requirements of 38 U.S.C. 4212(d) (i.e., the VETS-100 report required by the Federal Acquisition Regulation clause 52.222-37, Employment Reports on Disabled Veterans and Veterans of the Vietnam Era), it has [ ], or has not [ ] submitted the most recent reports required by 38 U.S.C. 4212(d).  (b)  An Offeror who checks ""has not"" may not be awarded a contract until the required reports are filed (31 U.S.C. 1354); 52.212-4, Contract Terms and Conditions-Commercial Items; and 52.212-5, Contract Terms and Conditions Required to Implement Statutes or Executive Orders-Commercial Items.  Addenda to FAR 52.212-4:  The following clauses cited in 52.212-5 are applicable to this solicitation:  52.222-26. Equal Opportunity; 52.222-35, Affirmative Action for Disabled Veterans of the Vietnam Era; 52.222-36, Affirmative Action for Workers with Disabilities, 52.222-37, Employment Reports on Disable Veterans and Veterans of the Vietnam Era.  The Contractor agrees to comply with the following FAR clauses applicable to commercial services which the Contracting Officer has incorporated by reference to implement the provisions of law or executive orders applicable to the acquisition of commercial items or components:   Clause 52.222-41, Service Contract Act of 1965, as amended - Department of Labor Wage Determination No. 94-2167, Revision No. 12, dated 8/3/98 is applicable to this solicitation; and Clause 52.222.42, Statement of Equivalent Rates for Federal Hires - Employee Class is Heavy Equipment Mechanic (WG-10), Monetary Wage is $17.60, and Fringe Benefits are usual Federal Government fringe benefits.  Offers are due at the Contracting Office Address indicated above, no later than 4:00 PM CST, March 22, 1999.  Contact the Contracting Officer, Vernice Green at 312/886-8909 for information regarding the solicitation.  All responsible sources may submit an offer which will be considered."
"REPAIR DAMAGED DRAIN LINES IN THE US POST OFFICE & COURTHOUSE BUILDING, PITTSBURGH, PA",General Services Administration,Reference-Number-GS03P99QKC0052,0525,99,"Provide all labor, supervision and materials to replace damaged drain lines in the US Post Office and Courthouse Building, 7th and Grant Streets, Pittsburgh, PA 15219.  All work must be performed according to the attached specifications, contract clauses and US Dept. of Labor wage determinations. This procurement is set aside for emerging small business under the small business competitiveness demonstration program."
PAINT REMOVER,General Services Administration,Reference-Number-PR-98-B5-MPN-B-K5030-9,1110,98,The General Services Administration has a requirement for 80 Drums of National Stock Number
"WRENCH,IMPACT",General Services Administration,Reference-Number-RFQ-5120-WRENCH-IMPACT,0318,99,"THIS IS A SIMPLIFIED ACQUISITION FOR A WRENCH, IMPACT, CURTIS-WRIGHT FLIGHT SYSTEMS, INC., P/N 41-90750-00 OR EQUAL, QUANTITY 41 EA. DELIVERY WILL BE MADE TO THE FOLLOWING WAREHOUSE DISTRIBUTION CENTERS:  BURLINGTON, NJ, PALMETTO, GA, FORT WORTH, TX, AND STOCKTON, CA. BAR CODE MARKING IS REQUIRED.  THE FOLLOWING CLAUSES WILL APPLY: 52.232-25, 52.211-75, 552.211-76, AND E-FSS-521-D (DESTINATION INSPECTION). THE NOTICE OF PROCUREMENT RESTRICITON WILL APPLY. FOR COPIES OF THE RFQ, CHECK THE WEBSITE WWW.EPS.GOV."
"DRILL, TWIST",General Services Administration,Reference-Number-RFQ-5133-DRILL-TWIST-14NSNS,0312,99,"THIS IS A SIMPLIFIED ACQUISITION, STANDING PRICE QUOTE FOR DRILL, TWIST. THE BEGIN DAE IS 04-01-99, END DATE 03-31-00.  THE NOTICE"
"EPOXY PRIMER COATING KIT (PRIMER COATING: EPOXY, HIGH-SOLIDS)",General Services Administration,Reference-Number-RFQ-98-B5-BJ97539,1124,98,"The General Services Administration has a Simplidied Acquisition procurement requirement for a quantity of  3,761 Kits of National Stock Number 8010-01-387-1069, Epoxy Primer Coating Kit.  There are a total of 6 orders. Tinker AFB will be receiving 5 of the orders and the remaining order will be shipped to Tyndall AFB. This item is in accordance with Military Specification MIL-PURCH. ON 9/5-23377G, dated September 30, 1994. QPL Qualification is required. QPL-23377-17. Due to the urgent need for this item, the Government will only leave this Request Ror Quote open for seven days.  For more information fax your request to Dan Perkins at (816) 926-3678, or e-mail at dan.perkins@gsa.gov . Please make sure to refer to Reference Number RFQ-98-B5-BJ97539."
"ADHESIVE, SEALER",General Services Administration,Reference-Number-S3-ITEMS,1119,98,REQUEST FOR 12-MONTH STANDING PRICE QUOTE.  STOCK - BAR CODE MARKING REQUIRED - SOURCE INSPECTION.  PLEASE PROVIDE MATERIAL SAFETY DATA SHEET FOR EACH ITEM.
TEST ONLY,Department of the Air Force,Reference-Number-TEST0001,0707,99,This is a test only
"WRENCH, IMPACT",General Services Administration,S-W-AM724-1,0121,99,"NSN:5120-00-440-8047, Quantity:41 ea, 6 orders for 4 destinations, Bar Coding required & are Destination Inspection, Wrench, Impact, Curtiss-Wright P/N 41-90750-00 or equal, For a complete Item Description and a Request for Quotation please call Pete Kunellis at 816-823-1713."
8030/8040-SEALANTS AND ADHESIVES,General Services Administration,SOLICITATION,0510,99,"Solicitation 6FER-G2-99831-6-N will be issued on or about May 12, 1999 for 30 NSN's for FSC 8030 & 8040, Adhesives and Sealants. The contract period  will be 2-years with three 1-year options. It will be a Firm fixed requirements contract with Economic Price Adjustment.  The NSN's are in accordance with Military Specifications MIL-S-38714B and MIL-PRF-23586F.  This Solicitation will be available on the Electronic Posting System (EPS), which can be accessed through Internet at address http://www.eps.gov.  INTERESTED OFFERORS ARE RESPONSIBLE FOR DOWNLOADING THE SOLICITATION OFFER OR MODIFICATIONS OF OFFERS RECEIVED AT THE ADDRESS SPECIFIED FOR THE RECEIPT OF OFFERS AFTER THE EXACT TIME SPECIFIED FOR RECEIPT OF OFFERS WILL NOT BE CONSIDERED.The solicitation will contain 20 stock items, FOB Destination delivery to GSA Distribution Centers and/or military depots and l0 non-stock NSN's for direct delivery.  The stock NSN's are:"
"TOOL BAGS, BELTS, & CARRIERS",General Services Administration,Solicitation-6FES-D1-980201-S,1204,98,"This solicitation will be a stock, fixed price, 2 year - indefinite delivery/indefinite quantity requirements type contract. It will have 3 one year options (option clause, 552.216-72, will be included) and an economic price adjustment clasue.  Issue date is 12/04/98 for FSC 5140 for various Tool Bags, Belts, & Carriers. There will be 6 items. All items will be a total small business set-aside. The qtys are estimated for 2 years. ITEMS;1) 5140-00-288-7763 (Est. Qty. 3,888) (BAG, LINEMAN'S TOOL, ROUND:Tool bag is used by line crews for raising and lowering tools and material. 2) 5140-00-293-2379 (Est. Qty. 12,264) (BAG,TOOL, SATCHEL):In accordance with (IAW) U.S. Army Natick Research drawing number 2-3-525 dated 7/30/91 and 2-3-526 dated 7/30/91 including support drawings 2-3-527, 2-3-528 and 2-3-529 all dated 7/30/91, also Separate parts list PL 2-3-525 and PL 2-3-526. 3) 5140-00-315-2775 (Est. Qty. 5,508) (BAG, TOOL, SATCHEL (ENVELOPE TYPE)):IAW U.S. Army Natick Laboratories drawing number 5-3-60, revision B dated 4/12/82. 4) 5140-00-391-1069 (Est. Qty. 736) (BELT, TOOL REPAIRMAN'S):IAW BUSHIPS Drawing 9000-S6202-73125, Revision L, dated 04/11/75, piece 30. 5) 5140-00-498-8898 (Est. Qty. 12,800)(CARRIER, TOOL): IAW U.S. Army Natick Laboratories Drawing 2-3-315, Revision C dated 07/16/87. 6) 5140-00-529-1889 (Est. Qty. 3,000) (CARRIER,TOOL):IAW U.S.Army Natick Laboratories Drawing 2-3-315, Revision C dated 07/16/87. ALL REQUESTS FOR A COPY OF THE SOLICITATION & for complete descriptions and drawings should be requested in writing by fax at 816/926-3678, attn.-Genia Watson (Contract Specialist) or retrieve a copy from website http://eps.arnet.gov.  All solicitation responses are DUE TO GSA BY 01/05/99 at 1:00 PM."
FUEL TANK SEALANTS - FSC CLASS 8030,General Services Administration,TFTP-98-BK-8374,1214,98,"Pre-Invitation Notice/Market Survey: Requirements Contract for Fuel Tank Sealants, FSC Class 8030.  If you are interested in bidding, please complete the questionnaire on pages 19, 20, & 21, of the PIN and return it to GSA before December 31, 1998.  The PIN can only be obtained electronically, at the web site: (http://eps.arnet.gov).  Your input will be used in an effort to improve and expand the competitive procurement process.  For further information or if you have any questions, please call Larry Schmoll at (816) 823-1287 or fax your responses to 816/926-3678. Please return questionnaire to below address or fax to telephone number above:"
"REQUIREMENTS CONTRACT FOR FUEL TANK SEALANTS, FSC CLASS 8030",General Services Administration,TFTP-98-BK-8374-S,0309,99,"Solicitation TFTP-98-BK-8374, was introduced on December 14, 1998 by a Pre-invitation notice and Market Survey, posted on the Electronic Posting System (EPS) @ http://www.eps.gov.  The solicitation for TFTP-98-BK-8374, Requirements Contract for Fuel Tank Sealants, FSC Class 8030, will be posted on the EPS, as TFTP-98-BK-8374-S, on March 10, 1999.  The solicitation will be available only by downloading the file from the internet by accessing the EPS at http://www.eps.gov.  This acquisition will be for a two year fixed price contract with 3 1-year options and Economic Price Adjustment. The solicitation covers 111 National Stock Numbers and includes coverage of both special order program and stock replinsment requirements.  Hard copies of this acquisition will not be provided by the government.  Vendors interested in submitting a bid must download TFTP-98-BK-8374-S from the EPS.  Response date for bids is March 26, 1999 at 11:00 A.M."
